id;subscriber_type;fullname;email;phone_number;timestamp;email_status;subscriber_status
1;PATIENT;opposite kiddingly even;Olga_Rice7@gmail.com;pertinent overlooked grouchy;2024-03-08T10:33:48;SENT;REGISTERED
2;PATIENT;furthermore;Pearline29@yahoo.com;within festoon;2024-03-08T02:31:17;FAILED;INITIATED
3;PROFESSIONAL;putt extroverted why;Dorthy.Senger@yahoo.com;furthermore round brr;2024-03-08T01:45:37;SENT;PROCESSING
4;PATIENT;nun arrogantly;Ethyl.Murazik28@hotmail.com;upright behind recondition;2024-03-08T21:00:44;FAILED;INITIATED
5;PATIENT;once catcher;Alexa_Lubowitz79@yahoo.com;ouch past ick;2024-03-08T14:26:09;SENT;REGISTERED
6;PROFESSIONAL;lest different;Audra_Monahan@hotmail.com;violent decoy fooey;2024-03-08T19:01:38;FAILED;INITIATED
7;PROFESSIONAL;rib where;Charley.Marquardt@gmail.com;tent after altruistic;2024-03-07T22:25:30;SENT;PROCESSING
8;PATIENT;supposing hm;Letitia6@gmail.com;likely cleave tragic;2024-03-08T08:37:30;SENDING;PROCESSING
9;PATIENT;ouch oof;Sidney8@hotmail.com;clueless;2024-03-08T17:16:19;FAILED;REGISTERED
10;PROFESSIONAL;chutney madly simplistic;Mary2@yahoo.com;clover bitterly yum;2024-03-08T13:16:18;FAILED;REGISTERED
